문제 번호,제목,난이도,푼 사람 수,평균 시도,정답 코드의 평균 길이,문제 본문 길이
26361,XO,Silver V,15,1.73,1677,1238
3991,한번 쏘면 멈출 수 없어,Silver III,227,1.54,413,665
30023,전구 상태 바꾸기,Gold V,179,1.71,1185,497
25096,Pancake Deque,Silver II,65,1.22,1029,1528
4614,Linear Pachinko,Silver III,15,1.13,1214,2191
5161,Toxic Assets,Bronze I,21,1.71,1008,2737
11087,Bobby’s Bet,Silver II,35,1.60,793,974
13473,Anniversary Cake,Silver IV,63,1.60,482,928
2082,시계,Silver III,286,1.37,942,652
16614,Collecting Stars,Silver I,18,1.28,922,1108
27260,Красивые перестановки,Silver III,13,1.00,1069,654
14583,이음줄,Gold IV,296,1.47,223,373
11539,Word Clouds Revisited,Silver I,12,1.17,664,2821
9447,Energy Tycoon,Silver V,31,1.48,942,648
17873,Regional Team Names,Silver V,20,1.60,1217,666
4309,Evil Straw Warts Live,Silver IV,12,1.75,2184,519
7390,Easy Trading,Silver V,25,1.48,1023,1851
6041,MasterMind,Silver II,19,1.68,2090,1618
12437,새로운 달력 (Small),Silver V,156,1.79,457,564
22614,Infected Computer,Silver V,26,1.12,1449,1629
26508,Semmy,Silver V,11,1.00,920,856
18003,Checkerboard,Silver V,58,1.28,709,990
9057,ACM-UCPC,Silver I,17,1.41,2072,926
20164,홀수 홀릭 호석,Gold V,"1,053",1.45,1087,456
20312,CPU 벤치마킹,Silver II,180,1.75,433,657
16516,Lipschitz Constant,Gold V,23,1.35,799,559
20627,Non-Trivial Common Divisor,Silver I,17,1.24,1728,876
21221,Bold,Silver V,70,1.21,730,907
2734,드럼통 쌓기,Gold IV,33,1.33,1147,545
9790,Elephant Show,Silver II,44,1.09,1237,1452
3902,Bug Hunt,Gold IV,14,1.29,2391,1914
4327,Combination Lock,Bronze II,118,1.30,337,845
15054,Complete Naebbirac’s sequence,Silver II,33,1.73,1285,1652
12683,Test Passing Probability (Small),Silver IV,14,1.07,1330,1097
